0.494386,0.494386,1.243619,-0.005279,-0.17519,0.055645,0.982947
0.493256,0.493256,1.245039,-0.00662,-0.163043,0.051423,0.985256
0.501256,0.501256,1.253801,-0.007267,-0.154834,0.045951,0.986845
0.510425,0.510425,1.251339,-0.010348,-0.14316,0.037466,0.988936
0.531555,0.531555,1.250338,-0.012518,-0.143106,0.035953,0.988975
0.531304,0.531304,1.294562,-0.011957,-0.138459,0.037,0.989605
0.53806,0.53806,1.295804,-0.012092,-0.135546,0.035385,0.990065
0.547302,0.547302,1.311351,-0.017201,-0.119023,0.02696,0.992376
0.551566,0.551566,1.329358,-0.01923,-0.097178,0.022404,0.994829
0.553319,0.553319,1.362566,-0.02,-0.065639,0.016946,0.997499
0.561061,0.561061,1.384139,-0.024447,-0.035765,0.010152,0.99901
0.575964,0.575964,1.434773,-0.025854,-0.011904,0.005721,0.999578
0.589799,0.589799,1.455027,-0.026988,0.016216,-0.001331,0.999503
0.610026,0.610026,1.475924,-0.030225,0.043932,-0.011031,0.998516
0.641498,0.641498,1.559271,-0.031293,0.067327,-0.017068,0.997094
0.646464,0.646464,1.577633,-0.036267,0.088828,-0.024098,0.995095
0.664257,0.664257,1.598188,-0.037977,0.116841,-0.027297,0.992049
0.701092,0.701092,1.637642,-0.041459,0.148341,-0.042505,0.987152
0.727017,0.727017,1.653566,-0.045637,0.174199,-0.050435,0.982359
0.772652,0.772652,1.718843,-0.048026,0.200058,-0.057115,0.976938
0.80748,0.80748,1.733526,-0.049164,0.220529,-0.064376,0.972011
0.837908,0.837908,1.750845,-0.061273,0.24996,-0.074643,0.963428
0.877284,0.877284,1.788393,-0.068439,0.277433,-0.078494,0.955084
0.940004,0.940004,1.830213,-0.055412,0.314166,-0.086983,0.94375
0.973214,0.973214,1.83902,-0.059677,0.3347,-0.092401,0.935883
1.00005,1.00005,1.84566,-0.062916,0.352796,-0.09645,0.928587
1.02747,1.02747,1.85315,-0.070202,0.370255,-0.103556,0.920467
1.046189,1.046189,1.859807,-0.076548,0.389488,-0.106458,0.91165
1.083188,1.083188,1.863443,-0.073897,0.404283,-0.113334,0.904572
1.118498,1.118498,1.87925,-0.07374,0.421043,-0.119772,0.896069
1.145646,1.145646,1.880277,-0.076916,0.439648,-0.122114,0.886499
1.192477,1.192477,1.893525,-0.076174,0.456841,-0.127423,0.877073
1.241485,1.241485,1.892857,-0.073156,0.469693,-0.132483,0.869761
1.268631,1.268631,1.891198,-0.072734,0.481732,-0.136712,0.862528
1.295071,1.295071,1.88929,-0.072087,0.495719,-0.143488,0.853509
1.316952,1.316952,1.893416,-0.075996,0.516453,-0.148291,0.839947
